operating_hours,temperature_c,vibration_level_mm_per_s,load_percentage,maintenance_due_in_hours
4571.0,83.35,3.7,77.73,2472.14
2000.0,78.86,1.57,87.39,3739.61
2756.0,67.43,1.7,90.51,3367.61
1668.0,57.96,3.98,70.69,4006.78
1460.0,80.25,2.36,60.21,4134.85
3636.0,65.91,3.68,52.12,3102.79
2724.0,93.32,0.83,78.99,3398.17
4809.0,99.67,4.28,72.65,2340.16
4178.0,87.62,3.58,97.44,2562.74
2048.0,54.52,4.54,53.03,3906.36
4146.0,64.43,0.75,84.27,2719.3
4780.0,55.46,3.01,51.25,2562.79
716.0,82.53,3.04,58.57,4503.73
4544.0,88.26,1.83,72.68,2519.77
4976.0,96.28,2.35,72.74,2282.25
4583.0,71.91,0.29,84.29,2490.4
1823.0,95.07,3.75,95.51,3733.26
2081.0,93.89,2.79,81.95,3684.04
3419.0,65.86,0.38,97.68,3016.57
1574.0,93.45,3.44,94.08,3871.35
249.0,68.78,2.39,79.22,4667.94
673.0,64.84,0.27,91.69,4422.68
4533.0,82.45,4.85,82.13,2459.44
2165.0,66.42,4.75,53.93,3817.52
770.0,81.51,2.61,87.03,4340.71
3962.0,80.49,0.56,54.75,2928.7
4363.0,78.17,3.8,79.7,2575.66
1984.0,69.02,2.51,85.13,3769.19
1077.0,77.42,1.58,53.33,4374.2
235.0,79.82,2.51,61.54,4740.07
388.0,77.28,2.66,95.78,4495.91
3037.0,72.22,2.86,80.82,3254.41
4858.0,50.73,2.26,62.31,2485.34
1848.0,79.35,3.07,84.53,3813.94
4719.0,58.42,4.6,79.84,2428.44
2814.0,82.13,1.88,75.08,3384.6
3374.0,87.97,3.66,98.81,2956.46
3278.0,75.02,4.48,84.17,3095.26
1252.0,77.12,2.33,68.77,4202.56
3981.0,97.57,2.27,90.0,2691.6
4673.0,92.36,3.05,94.23,2327.13
2122.0,95.71,3.0,56.26,3786.29
4530.0,90.69,4.05,60.03,2562.96
2150.0,55.45,2.43,60.81,3835.7
4859.0,57.45,4.98,84.56,2332.99
1329.0,76.33,0.39,80.15,4128.16
1358.0,62.3,0.12,80.95,4140.49
2482.0,73.83,3.24,97.04,3443.77
4542.0,69.72,1.56,88.8,2479.96
2017.0,77.47,1.28,56.4,3891.8
1331.0,87.34,1.63,67.38,4156.65
4344.0,85.77,1.35,71.77,2634.06
4261.0,76.06,0.25,69.8,2715.88
1358.0,91.12,4.86,83.47,4022.83
4637.0,71.54,1.18,94.59,2403.62
4854.0,94.84,3.7,65.3,2369.85
3177.0,53.56,3.84,77.59,3228.04
2128.0,97.73,4.65,89.47,3596.65
2180.0,82.73,0.25,70.81,3737.98
4892.0,69.0,4.37,58.41,2430.23
137.0,59.86,2.68,73.75,4766.21
3472.0,73.96,3.2,52.76,3170.28
2832.0,59.73,3.26,97.12,3296.37
3579.0,58.32,4.12,53.74,3133.99
3031.0,80.87,1.73,71.92,3295.81
4164.0,76.15,3.69,76.49,2696.3
2593.0,83.5,2.69,99.27,3363.26
4300.0,96.48,3.99,58.3,2675.66
3818.0,76.61,4.95,55.72,2959.63
4138.0,79.05,1.08,50.44,2859.9
3823.0,54.48,4.97,57.78,2990.91
4042.0,85.88,0.54,60.36,2850.02
1906.0,70.0,0.11,81.53,3848.25
760.0,98.84,0.32,60.99,4464.24
3445.0,91.16,1.77,51.03,3172.31
899.0,76.12,3.2,91.33,4259.58
4455.0,56.16,0.44,68.28,2664.4
2947.0,92.97,0.13,67.68,3350.86
1719.0,89.99,4.69,65.12,3937.98
280.0,59.23,4.13,98.77,4556.42
3266.0,64.76,4.06,58.51,3254.29
1887.0,89.67,4.43,94.91,3708.26
3266.0,59.26,3.53,88.84,3118.97
666.0,95.89,0.61,53.82,4549.99
4188.0,71.23,2.06,99.34,2596.31
671.0,54.35,3.64,63.57,4551.52
1969.0,90.79,1.47,54.93,3894.54
4156.0,68.68,3.47,91.47,2642.64
3122.0,76.32,0.22,85.33,3207.48
4699.0,55.62,1.6,80.86,2468.96
4777.0,50.13,2.79,57.8,2544.34
3900.0,81.9,3.2,73.92,2834.61
523.0,75.76,2.93,89.03,4462.57
2393.0,79.68,3.52,65.18,3633.05
3117.0,89.69,0.13,65.58,3282.9
2593.0,82.33,0.59,50.16,3632.11
1968.0,58.74,4.36,58.71,3911.38
1753.0,68.04,3.44,93.77,3834.17
2296.0,95.29,0.65,72.09,3644.44
2261.0,88.5,4.23,99.21,3504.19
2286.0,77.83,1.29,69.79,3689.54
4202.0,62.78,2.44,85.76,2670.2
2878.0,65.1,0.81,64.1,3452.2
4143.0,86.6,3.58,68.19,2728.56
3644.0,92.56,3.37,59.54,3011.53
4432.0,83.57,1.13,67.35,2618.75
2055.0,90.48,4.33,77.36,3711.43
4720.0,88.33,2.07,99.59,2294.73
1276.0,57.49,1.53,83.21,4165.65
2766.0,71.2,0.85,59.96,3516.33
302.0,57.65,1.4,52.25,4808.42
638.0,61.76,0.21,56.32,4623.81
55.0,93.46,2.96,78.13,4715.36
4821.0,73.64,4.23,88.26,2308.65
525.0,76.77,2.79,97.02,4420.96
4569.0,58.92,1.17,50.79,2681.96
4123.0,65.61,0.26,76.14,2773.93
2125.0,61.51,1.15,73.54,3785.24
3287.0,60.31,2.14,82.8,3150.48
364.0,81.9,3.82,77.98,4576.09
4621.0,62.84,1.02,84.35,2481.85
4978.0,81.6,3.63,82.9,2247.01
1646.0,52.92,4.35,55.85,4098.42
918.0,57.09,2.32,89.99,4303.65
2797.0,63.73,4.13,56.16,3501.99
1531.0,79.85,2.82,84.93,3971.98
3345.0,83.79,3.22,70.81,3123.66
1906.0,72.14,2.68,75.69,3847.48
3086.0,72.29,2.37,95.16,3162.9
4580.0,86.23,1.25,94.49,2402.58
2075.0,50.79,1.59,90.89,3740.6
713.0,67.05,1.52,75.51,4466.65
1062.0,90.94,2.86,86.81,4174.47
1976.0,80.16,0.69,75.64,3816.58
1296.0,66.86,4.59,93.48,4054.95
125.0,95.28,3.63,70.14,4709.94
4632.0,88.63,2.07,98.51,2343.51
3596.0,63.24,0.88,96.62,2933.66
3283.0,82.26,4.42,87.08,3064.35
1603.0,79.79,4.14,63.97,4027.71
66.0,70.06,3.64,56.58,4857.6
232.0,68.35,1.43,92.74,4619.32
2156.0,67.18,2.07,58.27,3825.6
1169.0,80.86,0.6,92.71,4134.18
2158.0,72.12,1.03,74.54,3743.8
4206.0,91.59,3.94,70.33,2672.81
1493.0,83.48,3.6,95.16,3924.71
4718.0,53.5,3.01,80.19,2452.96
4007.0,82.01,4.49,78.83,2743.44
2472.0,63.56,2.96,77.94,3567.61
2660.0,79.64,2.39,68.56,3494.04
2739.0,84.01,1.77,89.28,3348.4
1761.0,61.54,4.71,62.64,3986.14
3514.0,72.84,0.51,96.94,2957.54
1975.0,59.52,4.66,94.7,3723.36
2362.0,52.62,4.15,66.87,3687.89
876.0,68.92,0.74,86.47,4334.42
3812.0,68.15,2.87,78.66,2885.72
3448.0,99.77,4.35,66.88,3048.58
1312.0,72.32,2.9,99.43,4023.22
1460.0,66.68,4.55,51.26,4184.88
2709.0,79.02,4.72,62.63,3477.08
2324.0,54.44,2.17,76.0,3677.41
1733.0,98.08,1.95,76.1,3887.36
1605.0,81.75,4.69,79.45,3939.89
2563.0,87.74,3.41,87.58,3421.02
3421.0,58.52,0.67,81.17,3109.9
3517.0,70.47,0.31,80.01,3047.41
2397.0,71.13,2.87,52.68,3717.19
3735.0,91.09,4.66,68.83,2909.61
2870.0,50.06,4.24,61.6,3464.49
1160.0,65.04,3.41,63.27,4289.46
4854.0,99.06,0.78,77.72,2328.48
242.0,73.74,1.35,59.98,4768.18
2590.0,69.13,4.39,64.7,3549.36
1063.0,55.99,1.0,61.85,4387.29
4324.0,98.71,1.46,97.43,2488.81
2595.0,51.0,0.74,97.23,3456.98
919.0,86.86,3.41,80.5,4280.17
5.0,88.43,4.73,96.23,4642.25
467.0,62.18,1.42,89.29,4531.5
4170.0,83.58,2.43,79.5,2676.06
3.0,54.65,3.21,50.32,4955.52
645.0,62.85,5.0,88.63,4408.69
117.0,89.4,0.61,85.12,4680.95
2928.0,93.23,2.54,80.76,3270.29
2551.0,80.42,1.99,88.02,3453.67
4289.0,75.34,4.34,75.65,2633.16
846.0,57.97,2.43,85.2,4360.73
2762.0,53.16,0.64,96.76,3372.46
1141.0,55.88,3.21,68.79,4291.7
1810.0,61.37,3.88,85.41,3856.47
723.0,67.08,0.11,73.78,4484.27
224.0,69.05,4.31,83.72,4638.22
4627.0,67.32,1.01,88.14,2451.03
4208.0,61.95,2.81,52.27,2832.68
4654.0,75.49,2.14,82.33,2439.0
2048.0,91.26,3.63,61.34,3800.52
4749.0,63.99,1.92,83.5,2410.83
4415.0,97.12,4.36,73.42,2537.56
1573.0,93.67,3.68,88.68,3895.98
1828.0,58.09,3.27,56.17,4006.24
1917.0,89.31,4.0,81.32,3766.28
4234.0,78.73,3.79,63.92,2717.98
2026.0,78.33,0.28,92.65,3714.34
3744.0,69.55,2.03,96.42,2836.46
901.0,75.06,4.66,99.82,4203.68
4785.0,69.86,0.72,89.8,2361.62
2039.0,76.99,3.71,87.69,3700.98
9.0,81.4,4.88,60.78,4830.07
260.0,83.72,0.36,66.8,4715.01
1673.0,76.62,3.44,73.28,3959.4
2219.0,86.07,2.39,88.67,3601.07
2060.0,57.06,2.94,95.75,3697.75
3713.0,60.6,0.52,59.46,3069.84
1619.0,90.94,0.31,96.12,3874.93
320.0,66.13,3.37,84.78,4600.16
1342.0,51.14,4.13,80.54,4132.68
2376.0,57.69,3.93,59.99,3707.34
2832.0,61.18,2.76,52.78,3520.11
2824.0,97.87,0.59,78.42,3344.26
1994.0,78.65,3.47,82.58,3748.1
2958.0,96.64,1.29,60.54,3362.18
2038.0,78.76,4.56,77.82,3738.73
3490.0,73.97,4.21,92.82,2950.87
3677.0,65.69,3.58,91.75,2885.6
1118.0,80.32,4.75,96.37,4101.03
1604.0,56.96,0.25,68.29,4090.07
4027.0,94.91,3.71,65.9,2780.09
235.0,91.47,1.72,87.47,4595.03
1969.0,65.88,4.54,71.56,3830.57
4429.0,97.64,1.41,54.38,2654.27
1908.0,91.26,3.65,64.14,3856.26
375.0,83.32,4.4,70.93,4597.22
3530.0,56.09,0.3,64.63,3146.65
2635.0,73.91,2.05,66.61,3531.14
1570.0,75.31,3.84,64.69,4052.59
2560.0,61.63,2.33,52.07,3663.08
3391.0,54.0,1.41,81.85,3123.13
2965.0,88.84,1.18,79.86,3278.73
3643.0,56.1,0.74,82.67,2995.51
3850.0,79.71,4.3,59.62,2924.49
872.0,96.82,2.92,64.78,4367.25
1252.0,93.81,0.47,80.98,4126.74
1314.0,63.89,1.97,79.98,4145.57
4820.0,92.57,1.9,75.32,2359.25
2898.0,50.02,0.99,67.52,3453.46
77.0,50.88,2.23,95.65,4709.16
2621.0,80.13,1.73,66.99,3527.03
4227.0,68.24,1.77,72.78,2718.37
600.0,69.32,3.72,83.91,4454.61
1065.0,78.22,1.19,77.15,4263.36
2136.0,59.59,3.25,67.34,3793.65
2449.0,60.59,2.9,71.78,3616.45
2343.0,74.23,2.88,89.72,3552.58
1863.0,87.71,3.35,63.91,3890.05
1318.0,80.97,2.79,57.11,4215.62
4711.0,64.87,4.41,65.66,2492.39
3597.0,71.52,3.41,92.48,2911.98
3762.0,58.53,2.78,54.45,3051.88
4670.0,53.73,4.17,99.58,2367.95
2190.0,89.13,3.07,77.05,3660.78
992.0,63.27,1.53,99.24,4215.98
2712.0,58.89,1.11,96.95,3380.33
2192.0,84.58,0.85,72.64,3713.17
1248.0,80.9,4.51,59.92,4219.5
3054.0,81.66,3.58,58.24,3332.66
4598.0,61.44,4.69,62.0,2571.18
4033.0,61.63,3.06,85.51,2752.14
1997.0,61.04,2.42,63.65,3886.99
4916.0,58.69,0.39,67.07,2435.34
3687.0,82.79,3.39,72.44,2944.82
2151.0,92.4,2.95,95.66,3581.86
4018.0,86.22,4.95,59.47,2821.7
3110.0,89.6,1.27,50.25,3351.82
1970.0,70.24,2.7,53.0,3932.49
197.0,82.7,3.29,95.24,4577.0
2626.0,67.71,3.26,82.38,3457.11
1202.0,76.28,2.85,63.65,4249.69
2035.0,74.08,3.91,58.86,3850.97
477.0,58.84,1.1,64.71,4659.2
1254.0,69.35,3.66,55.74,4269.04
922.0,98.19,3.14,97.08,4175.87
419.0,62.43,4.49,89.21,4524.68
2204.0,56.69,4.25,73.12,3726.51
2597.0,70.93,1.64,93.25,3426.96
1120.0,89.52,1.45,62.47,4284.07
3068.0,79.11,4.91,85.86,3179.4
950.0,84.05,2.68,92.81,4216.03
2336.0,59.48,4.54,67.84,3678.42
2243.0,80.95,0.9,87.87,3618.21
2645.0,66.18,3.25,64.75,3538.88
1857.0,91.72,4.07,64.94,3872.67
4612.0,81.46,4.74,55.35,2556.88
1865.0,59.94,1.75,72.0,3920.07
2912.0,53.23,3.65,86.49,3318.59
2853.0,52.13,2.74,97.01,3306.78
4910.0,68.57,0.4,80.19,2352.94
3228.0,63.29,3.48,93.16,3108.82
3719.0,82.3,3.48,91.12,2835.45
3228.0,74.97,4.66,58.67,3246.13
2371.0,63.3,2.54,74.29,3641.08
2891.0,57.46,1.23,55.85,3498.06
3756.0,56.36,0.32,84.11,2935.56
4225.0,93.23,2.14,97.49,2542.19
94.0,62.17,1.58,56.85,4878.59
2674.0,82.59,3.83,86.69,3376.06
1955.0,90.53,1.84,81.61,3765.01
793.0,80.7,4.75,79.18,4348.69
1834.0,92.98,4.82,69.51,3851.36
2116.0,69.62,3.14,67.76,3782.55
4106.0,97.81,4.65,52.26,2793.56
3325.0,56.66,3.83,60.9,3231.43
2919.0,55.11,2.78,50.76,3498.69
2597.0,82.93,0.98,79.07,3480.44
3205.0,97.14,2.35,55.29,3253.28
4807.0,90.44,2.85,93.65,2268.87
814.0,53.82,4.33,76.16,4411.24
345.0,63.97,2.46,84.98,4600.06
2349.0,96.52,4.5,70.54,3584.77
362.0,62.65,3.4,78.03,4619.51
2443.0,89.06,0.77,97.13,3457.01
2265.0,91.26,4.98,54.14,3714.55
2188.0,74.77,2.68,62.7,3766.14
3005.0,69.32,2.02,89.0,3243.67
3281.0,72.51,3.33,54.94,3256.51
984.0,61.35,0.63,53.78,4460.05
1639.0,94.47,3.22,68.08,3968.99
827.0,72.53,2.54,54.61,4492.98
2730.0,94.12,2.09,79.25,3379.56
3531.0,55.28,4.77,61.31,3119.66
4451.0,99.41,2.66,94.78,2425.14
2935.0,72.16,1.17,89.18,3280.56
3876.0,52.39,2.35,84.99,2858.8
126.0,51.9,4.6,80.85,4732.91
3177.0,87.31,0.96,93.17,3111.38
3056.0,82.95,1.15,61.15,3338.85
603.0,90.11,0.16,93.66,4398.37
3449.0,55.27,0.17,89.47,3065.89
4146.0,51.78,4.16,87.41,2694.76
3533.0,75.43,3.69,78.06,3005.45
3367.0,69.38,1.84,62.31,3197.78
3368.0,73.1,3.52,71.18,3128.7
3797.0,99.58,2.04,89.68,2783.58
1792.0,98.54,4.77,51.59,3951.29
2861.0,97.12,4.84,89.1,3231.37
3476.0,89.19,2.02,62.0,3103.35
3417.0,67.74,4.29,57.22,3177.08
1645.0,70.61,3.89,55.79,4068.48
1205.0,77.48,1.62,51.36,4319.54
3030.0,91.53,1.24,76.18,3258.68
2872.0,53.44,2.35,60.91,3479.11
3072.0,71.21,3.93,99.47,3134.93
1854.0,54.13,4.8,78.72,3873.08
4021.0,75.73,3.84,56.89,2865.15
4662.0,94.95,4.29,84.44,2364.01
2708.0,89.12,3.06,94.89,3312.77
3502.0,61.39,4.19,87.26,2997.99
1332.0,98.8,3.94,53.82,4177.85
201.0,83.37,1.95,94.79,4589.32
3507.0,50.52,2.8,89.7,3018.93
4212.0,62.77,4.04,57.92,2788.45
574.0,63.04,0.33,52.59,4670.73
